step,track,model,dataset,Memory in Mb,Time in s,MAE,RMSE
126,Regression,KNNRegressor,trumpapproval,0.0,0.1563501670007099,0.0,0.0
147,Regression,KNNRegressor,trumpapproval,0.0,0.181688500000746,0.0,0.0
168,Regression,KNNRegressor,trumpapproval,0.0,0.2086442500003613,0.0,0.0
189,Regression,KNNRegressor,trumpapproval,0.0,0.234504084000946,0.0,0.0
210,Regression,KNNRegressor,trumpapproval,0.0,0.2607620840008167,0.0,0.0
231,Regression,KNNRegressor,trumpapproval,0.0,0.2870659170002909,0.0,0.0
252,Regression,KNNRegressor,trumpapproval,0.0,0.3134978340003727,0.0,0.0
273,Regression,KNNRegressor,trumpapproval,0.0,0.3401840839997021,0.0,0.0
294,Regression,KNNRegressor,trumpapproval,0.0,0.3667335840000305,0.0,0.0
315,Regression,KNNRegressor,trumpapproval,0.0,0.3931697919997532,0.0,0.0
336,Regression,KNNRegressor,trumpapproval,0.0,0.4192711670002609,0.0,0.0
357,Regression,KNNRegressor,trumpapproval,0.0,0.4458585000011226,0.0,0.0
378,Regression,KNNRegressor,trumpapproval,0.0,0.4721783340010006,0.0,0.0
399,Regression,KNNRegressor,trumpapproval,0.0,0.4985676670003158,0.0,0.0
420,Regression,KNNRegressor,trumpapproval,0.0,0.5252162920005503,0.0,0.0
441,Regression,KNNRegressor,trumpapproval,0.0,0.5512804170011805,0.0,0.0
462,Regression,KNNRegressor,trumpapproval,0.0,0.5780246670001361,0.0,0.0
483,Regression,KNNRegressor,trumpapproval,0.0,0.6047602920007193,0.0,0.0
504,Regression,KNNRegressor,trumpapproval,0.0,0.6315368340001442,0.0,0.0
525,Regression,KNNRegressor,trumpapproval,0.0,0.6581270420010696,0.0,0.0
546,Regression,KNNRegressor,trumpapproval,0.0,0.6846731250006997,0.0,0.0
567,Regression,KNNRegressor,trumpapproval,0.0,0.7108418340012577,0.0,0.0
588,Regression,KNNRegressor,trumpapproval,0.0,0.7382724590006546,0.0,0.0
609,Regression,KNNRegressor,trumpapproval,0.0,0.7648177499995654,0.0,0.0
630,Regression,KNNRegressor,trumpapproval,0.0,0.7919688340007269,0.0,0.0
651,Regression,KNNRegressor,trumpapproval,0.0,0.8189541250012553,0.0,0.0
672,Regression,KNNRegressor,trumpapproval,0.0,0.8458885000000009,0.0,0.0
693,Regression,KNNRegressor,trumpapproval,0.0,0.8724954999997863,0.0,0.0
714,Regression,KNNRegressor,trumpapproval,0.0,0.8995340000001306,0.0,0.0
735,Regression,KNNRegressor,trumpapproval,0.0,0.9271270839999488,0.0,0.0
756,Regression,KNNRegressor,trumpapproval,0.0,0.9543933750010184,0.0,0.0
777,Regression,KNNRegressor,trumpapproval,0.0,0.9820322499999748,0.0,0.0
798,Regression,KNNRegressor,trumpapproval,0.0,1.009136667000348,0.0,0.0
819,Regression,KNNRegressor,trumpapproval,0.0,1.0367697090005097,0.0,0.0
840,Regression,KNNRegressor,trumpapproval,0.0,1.0632538749996456,0.0,0.0
861,Regression,KNNRegressor,trumpapproval,0.0,1.090861124999719,0.0,0.0
882,Regression,KNNRegressor,trumpapproval,0.0,1.1192823340006726,0.0,0.0
903,Regression,KNNRegressor,trumpapproval,0.0,1.147131834000902,0.0,0.0
924,Regression,KNNRegressor,trumpapproval,0.0,1.174065958999563,0.0,0.0
945,Regression,KNNRegressor,trumpapproval,0.0,1.2018840000000637,0.0,0.0
966,Regression,KNNRegressor,trumpapproval,0.0,1.2299101669996162,0.0,0.0
987,Regression,KNNRegressor,trumpapproval,0.0,1.2573390420002395,0.0,0.0
21,Regression,FIMTDD,trumpapproval,0.0,0.0265012079998996,0.0,0.0
42,Regression,FIMTDD,trumpapproval,0.0,0.0525240409988327,0.0,0.0
63,Regression,FIMTDD,trumpapproval,0.0,0.0791251249993365,0.0,0.0
84,Regression,FIMTDD,trumpapproval,0.0,0.1057487909984047,0.0,0.0
105,Regression,FIMTDD,trumpapproval,0.0,0.1322843749985622,0.0,0.0
126,Regression,FIMTDD,trumpapproval,0.0,0.1584149999998771,0.0,0.0
147,Regression,FIMTDD,trumpapproval,0.0,0.184220290999292,0.0,0.0
168,Regression,FIMTDD,trumpapproval,0.0,0.2106879159982781,0.0,0.0
189,Regression,FIMTDD,trumpapproval,0.0,0.2364078749997133,0.0,0.0
210,Regression,FIMTDD,trumpapproval,0.0,0.2624389159991551,0.0,0.0
231,Regression,FIMTDD,trumpapproval,0.0,0.2876981249992241,0.0,0.0
252,Regression,FIMTDD,trumpapproval,0.0,0.3137504999995144,0.0,0.0
273,Regression,FIMTDD,trumpapproval,0.0,0.34018499999911,0.0,0.0
294,Regression,FIMTDD,trumpapproval,0.0,0.366577499999039,0.0,0.0
315,Regression,FIMTDD,trumpapproval,0.0,0.393110290999175,0.0,0.0
336,Regression,FIMTDD,trumpapproval,0.0,0.4198346249995666,0.0,0.0
357,Regression,FIMTDD,trumpapproval,0.0,0.4468209579990798,0.0,0.0
378,Regression,FIMTDD,trumpapproval,0.0,0.4737088329984544,0.0,0.0
399,Regression,FIMTDD,trumpapproval,0.0,0.500332540999807,0.0,0.0
420,Regression,FIMTDD,trumpapproval,0.0,0.5267221659996721,0.0,0.0
441,Regression,FIMTDD,trumpapproval,0.0,0.5534615409997059,0.0,0.0
462,Regression,FIMTDD,trumpapproval,0.0,0.5799352909998561,0.0,0.0
483,Regression,FIMTDD,trumpapproval,0.0,0.6059802909985592,0.0,0.0
504,Regression,FIMTDD,trumpapproval,0.0,0.6329041659992072,0.0,0.0
525,Regression,FIMTDD,trumpapproval,0.0,0.6594843329985451,0.0,0.0
546,Regression,FIMTDD,trumpapproval,0.0,0.6859041249990696,0.0,0.0
567,Regression,FIMTDD,trumpapproval,0.0,0.7128142909987218,0.0,0.0
588,Regression,FIMTDD,trumpapproval,0.0,0.7396349579994421,0.0,0.0
609,Regression,FIMTDD,trumpapproval,0.0,0.7662566659982986,0.0,0.0
630,Regression,FIMTDD,trumpapproval,0.0,0.7928375409992441,0.0,0.0
651,Regression,FIMTDD,trumpapproval,0.0,0.8199309579995315,0.0,0.0
