step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1,MicroF1,MacroF1
3672,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,3.626310084,0,0.0,,,
4080,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,4.000863416998982,0,0.0,,,
4488,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,4.377403667000181,0,0.0,,,
4896,Multiclass classification,DynamicWeightedMajority,keystroke,582.875,4.760669584000425,0,0.0,,,
5304,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,5.144220209000196,0,0.0,,,
5712,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,5.628500249998979,0,0.0,,,
6120,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,6.012326459000178,0,0.0,,,
6528,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,6.377963458999147,0,0.0,,,
6936,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,6.744768499998827,0,0.0,,,
7344,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,7.109119624999948,0,0.0,,,
7752,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,7.479456541999752,0,0.0,,,
8160,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,7.847617375000482,0,0.0,,,
8568,Multiclass classification,DynamicWeightedMajority,keystroke,582.890625,8.214939499999673,0,0.0,,,
